F	w1versuch4	w1
3.90	63.20	5.97
4.00	63.40	6.12
4.10	63.60	6.28
4.30	63.70	6.58
4.40	63.70	6.74
4.50	63.90	6.89
4.60	64.10	7.04
4.70	64.40	7.19
4.90	64.60	7.50
5.00	64.80	7.65
5.10	64.90	7.81
5.30	65.00	8.11
5.40	65.30	8.27
5.40	65.40	8.27
5.40	65.50	8.27
5.40	65.50	8.27
5.40	65.50	8.27
5.40	65.60	8.27
5.40	65.60	8.27
5.40	65.70	8.27
5.60	65.90	8.57
5.70	66.20	8.73
5.80	66.60	8.88
5.90	67.30	9.03
6.10	68.20	9.34
6.20	69.50	9.49
6.30	70.60	9.64
6.40	72.30	9.80
6.60	74.00	10.10
6.70	75.60	10.26
6.80	77.40	10.41
6.90	78.90	10.56
7.10	80.40	10.87
7.20	81.60	11.02
7.30	83.20	11.17
7.40	84.60	11.33
7.50	86.20	11.48
